L1_Density,L2_Density,L3_Density,L4_Density,L1_Next,L2_Next,L3_Next,L4_Next,L1_Wait,L2_Wait,L3_Wait,L4_Wait,Emergency_Type,Green_Lane,Reason,Green_Time
67,56,23,46,16,28,75,61,1,2,3,0,None,Lane 4,Starvation,3
89,91,25,14,18,33,98,99,2,0,4,1,None,Lane 2,Gridlock_Avoidance,10
70,54,67,80,43,100,96,96,3,1,5,0,Ambulance,Lane 4,Emergency_Ambulance,10
66,99,71,38,33,78,68,66,4,2,0,1,Ambulance,Lane 3,Emergency_Ambulance,10
37,36,18,34,63,97,91,80,0,3,1,2,None,Lane 1,Starvation,3
92,61,32,53,87,62,98,83,1,0,2,3,None,Lane 2,Starvation,3
41,24,27,64,39,32,75,52,2,1,3,0,None,Lane 4,Starvation,3
15,47,45,95,94,96,99,35,3,0,4,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
30,82,38,87,57,91,57,91,0,1,5,2,None,Lane 1,Starvation,3
69,32,33,55,89,13,44,47,1,2,0,3,None,Lane 3,Starvation,3
52,29,23,90,63,12,56,92,0,3,1,4,None,Lane 1,Gridlock_Avoidance,3
29,69,52,32,86,88,43,75,1,4,0,5,None,Lane 3,Gridlock_Avoidance,3
55,44,50,77,99,36,10,85,0,5,1,6,Ambulance,Lane 1,Emergency_Ambulance,10
55,44,50,77,99,36,10,85,1,0,2,7,Police,Lane 2,Emergency_Police,10
31,30,53,51,42,25,92,41,0,1,3,8,Police,Lane 1,Emergency_Police,10
32,44,64,91,96,32,13,65,1,2,0,9,None,Lane 3,Starvation,3
36,18,76,97,88,75,64,76,2,3,1,0,None,Lane 4,Starvation,10
27,84,69,32,58,41,94,82,3,0,2,1,None,Lane 2,Starvation,6
61,22,78,70,30,73,98,95,0,1,3,2,Ambulance,Lane 1,Emergency_Ambulance,10
70,48,54,99,71,76,37,32,1,2,0,3,None,Lane 3,Starvation,3
95,51,85,97,55,43,62,56,2,3,1,0,None,Lane 4,Starvation,10
17,76,14,66,73,26,48,10,3,0,2,1,None,Lane 2,Starvation,6
27,31,74,78,46,34,68,51,0,1,3,2,None,Lane 1,Starvation,3
33,31,73,86,84,99,27,19,1,2,4,0,Police,Lane 4,Emergency_Police,10
28,79,62,26,44,44,26,55,2,3,0,1,None,Lane 3,Starvation,3
50,90,95,39,91,28,90,96,3,0,1,2,None,Lane 2,Starvation,10
12,85,20,61,61,12,56,33,4,1,0,3,Police,Lane 3,Emergency_Police,10
85,38,63,38,63,67,94,37,0,2,1,4,None,Lane 1,Starvation,6
31,55,81,77,62,39,71,44,1,3,2,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
40,95,79,18,72,40,82,21,2,0,3,1,None,Lane 2,Starvation,10
35,90,94,64,27,64,46,34,3,0,4,2,Fire Truck,Lane 2,Emergency_Fire Truck,10
96,46,28,43,25,35,100,35,0,1,5,3,None,Lane 1,Starvation,10
36,28,51,44,29,59,15,97,1,2,0,4,None,Lane 3,Starvation,3
19,56,33,54,99,86,53,97,2,3,0,5,None,Lane 3,Gridlock_Avoidance,3
37,78,95,11,76,62,28,56,3,4,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
14,52,81,32,80,73,24,96,0,5,2,1,None,Lane 1,Starvation,3
50,52,56,64,50,34,98,63,0,6,3,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
37,21,99,42,85,68,33,11,1,0,4,3,None,Lane 2,Starvation,3
42,70,22,76,86,29,46,39,2,1,0,4,None,Lane 3,Starvation,3
21,16,14,69,86,61,42,93,3,2,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
21,16,14,69,86,61,42,93,4,0,2,1,Police,Lane 2,Emergency_Police,10
44,97,79,46,23,43,54,50,0,1,3,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
82,23,65,49,69,37,69,41,0,2,4,3,Police,Lane 1,Emergency_Police,10
35,47,62,89,54,18,26,38,1,3,0,4,None,Lane 3,Starvation,3
98,97,74,25,65,53,53,26,0,4,1,5,Fire Truck,Lane 1,Emergency_Fire Truck,10
36,62,27,65,37,44,84,42,1,0,2,6,Fire Truck,Lane 2,Emergency_Fire Truck,10
18,14,19,19,98,43,45,43,2,1,3,0,None,Lane 4,Starvation,3
26,53,37,67,34,63,72,28,3,2,0,1,None,Lane 3,Starvation,3
28,100,27,62,85,63,25,63,4,3,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
28,100,27,62,85,63,25,63,0,4,2,1,Police,Lane 1,Emergency_Police,10
23,13,74,54,11,23,35,87,1,0,3,2,Ambulance,Lane 2,Emergency_Ambulance,10
34,52,24,21,74,33,93,82,2,1,0,3,Police,Lane 3,Emergency_Police,10
16,54,58,64,55,19,38,45,3,2,1,0,None,Lane 4,Starvation,3
47,43,49,18,37,54,18,50,4,3,2,0,Ambulance,Lane 4,Emergency_Ambulance,10
13,31,81,89,85,91,20,100,0,4,3,1,Fire Truck,Lane 1,Emergency_Fire Truck,10
46,37,37,31,57,63,50,47,0,5,4,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
46,37,37,31,57,63,50,47,1,6,0,3,Fire Truck,Lane 3,Emergency_Fire Truck,10
37,12,63,63,75,88,83,31,2,7,1,0,Ambulance,Lane 4,Emergency_Ambulance,10
37,12,63,63,75,88,83,31,3,0,2,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
77,32,62,89,88,41,13,71,0,1,3,2,Ambulance,Lane 1,Emergency_Ambulance,10
38,68,16,15,18,62,64,13,1,0,4,3,Police,Lane 2,Emergency_Police,10
50,99,18,81,61,31,91,93,2,0,5,4,None,Lane 2,Gridlock_Avoidance,10
62,34,16,86,26,53,12,77,3,1,0,5,None,Lane 3,Starvation,3
77,77,10,29,76,13,16,53,0,2,1,6,None,Lane 1,Starvation,6
56,28,94,86,74,82,36,68,1,3,0,7,Fire Truck,Lane 3,Emergency_Fire Truck,10
92,82,69,49,90,10,84,61,2,4,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
36,98,43,57,88,60,32,60,3,0,2,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
53,36,28,42,13,62,86,55,0,1,3,2,None,Lane 1,Starvation,3
15,57,92,20,31,77,51,72,0,2,4,3,Fire Truck,Lane 1,Emergency_Fire Truck,10
15,57,92,20,31,77,51,72,1,0,5,4,Fire Truck,Lane 2,Emergency_Fire Truck,10
15,57,92,20,31,77,51,72,2,1,0,5,Fire Truck,Lane 3,Emergency_Fire Truck,10
21,21,85,89,90,14,52,81,3,2,0,6,Ambulance,Lane 3,Emergency_Ambulance,10
43,47,18,12,41,39,51,37,4,0,1,7,Fire Truck,Lane 2,Emergency_Fire Truck,10
28,41,80,81,53,75,81,31,0,1,2,8,None,Lane 1,Starvation,3
98,73,48,63,59,29,62,91,0,2,3,9,None,Lane 1,Gridlock_Avoidance,10
63,51,68,22,45,92,59,79,0,3,4,10,Police,Lane 1,Emergency_Police,10
56,23,61,88,69,87,13,83,1,4,0,11,None,Lane 3,Gridlock_Avoidance,3
80,59,55,87,47,23,12,56,2,0,1,12,None,Lane 2,Starvation,3
21,67,68,34,23,28,89,82,3,0,2,13,None,Lane 2,Gridlock_Avoidance,3
33,73,75,68,68,11,34,82,4,1,0,14,Fire Truck,Lane 3,Emergency_Fire Truck,10
51,48,77,19,30,67,56,18,0,2,1,15,Ambulance,Lane 1,Emergency_Ambulance,10
46,93,52,40,63,22,11,25,1,0,2,16,Ambulance,Lane 2,Emergency_Ambulance,10
21,26,85,34,44,21,18,68,2,1,3,0,None,Lane 4,Starvation,3
60,23,37,61,15,68,62,14,3,2,0,1,None,Lane 3,Starvation,3
62,49,24,47,92,27,14,63,4,0,1,2,None,Lane 2,Gridlock_Avoidance,3
94,83,13,33,75,11,60,98,5,0,2,3,Ambulance,Lane 2,Emergency_Ambulance,10
94,83,13,33,75,11,60,98,0,1,3,4,Police,Lane 1,Emergency_Police,10
81,58,69,10,37,87,68,93,1,0,4,5,Ambulance,Lane 2,Emergency_Ambulance,10
14,34,34,35,89,48,70,49,2,1,0,6,Fire Truck,Lane 3,Emergency_Fire Truck,10
42,80,36,76,20,93,25,10,0,2,1,7,Police,Lane 1,Emergency_Police,10
42,80,36,76,20,93,25,10,1,3,0,8,Police,Lane 3,Emergency_Police,10
24,40,57,11,55,75,45,42,2,0,1,9,Police,Lane 2,Emergency_Police,10
18,42,45,35,24,100,78,39,3,1,2,0,None,Lane 4,Starvation,3
33,95,69,71,54,18,49,12,0,2,3,1,Ambulance,Lane 1,Emergency_Ambulance,10
39,67,37,57,29,19,78,62,1,3,0,2,None,Lane 3,Starvation,3
73,95,64,76,62,16,99,18,2,4,0,3,Ambulance,Lane 3,Emergency_Ambulance,10
73,95,64,76,62,16,99,18,3,5,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
23,90,30,83,97,85,22,12,4,0,2,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
23,56,17,38,16,34,59,51,5,0,3,2,Fire Truck,Lane 2,Emergency_Fire Truck,10
79,80,47,57,10,100,50,15,0,1,4,3,None,Lane 1,Starvation,6
80,47,33,42,52,12,70,83,1,2,0,4,None,Lane 3,Starvation,3
50,36,30,52,16,43,59,27,2,3,1,0,None,Lane 4,Starvation,3
81,37,44,18,49,84,13,21,0,4,2,1,None,Lane 1,Gridlock_Avoidance,6
79,37,95,11,75,16,89,12,1,0,3,2,Fire Truck,Lane 2,Emergency_Fire Truck,10
76,43,65,40,56,57,93,69,0,1,4,3,None,Lane 1,Gridlock_Avoidance,6
98,88,57,80,84,75,36,88,1,0,5,4,Fire Truck,Lane 2,Emergency_Fire Truck,10
39,84,45,30,64,15,27,24,2,1,0,5,None,Lane 3,Starvation,3
86,30,11,73,62,28,66,98,0,2,1,6,None,Lane 1,Gridlock_Avoidance,10
76,49,50,36,88,19,39,83,1,3,0,7,None,Lane 3,Gridlock_Avoidance,3
40,52,97,20,45,68,91,54,2,0,1,8,None,Lane 2,Starvation,3
51,46,79,47,88,30,71,38,3,1,2,0,None,Lane 4,Starvation,3
16,49,36,37,45,30,89,79,4,2,3,0,Police,Lane 4,Emergency_Police,10
50,42,90,23,44,71,65,42,0,3,4,1,None,Lane 1,Starvation,3
75,68,77,79,22,16,31,76,1,0,5,2,None,Lane 2,Starvation,3
35,27,71,97,52,19,32,54,2,1,0,3,None,Lane 3,Starvation,6
24,79,16,19,30,30,90,50,3,2,1,0,None,Lane 4,Starvation,3
47,45,89,84,41,39,95,16,0,3,2,1,None,Lane 1,Starvation,3
52,92,84,50,59,32,89,32,1,0,3,2,None,Lane 2,Starvation,10
32,98,16,36,59,97,86,72,0,1,4,3,Ambulance,Lane 1,Emergency_Ambulance,10
32,98,16,36,59,97,86,72,1,2,0,4,Ambulance,Lane 3,Emergency_Ambulance,10
91,90,67,91,62,56,66,96,0,3,1,5,None,Lane 1,Gridlock_Avoidance,10
69,55,39,44,48,73,21,10,1,0,2,6,None,Lane 2,Starvation,3
14,26,40,60,41,75,80,11,2,1,3,0,Police,Lane 4,Emergency_Police,10
98,46,86,26,26,14,55,18,3,2,0,1,None,Lane 3,Starvation,10
96,89,20,88,22,25,17,43,4,0,1,2,Fire Truck,Lane 2,Emergency_Fire Truck,10
74,53,48,27,71,66,58,38,0,1,2,3,Fire Truck,Lane 1,Emergency_Fire Truck,10
66,12,16,92,20,15,54,91,0,2,3,4,Police,Lane 1,Emergency_Police,10
16,85,13,68,98,15,24,53,0,3,4,5,Fire Truck,Lane 1,Emergency_Fire Truck,10
95,76,82,10,44,70,52,32,1,0,5,6,None,Lane 2,Starvation,6
89,54,20,16,34,31,66,95,2,1,6,0,Ambulance,Lane 4,Emergency_Ambulance,10
89,54,20,16,34,31,66,95,3,0,7,1,Police,Lane 2,Emergency_Police,10
10,31,97,41,36,78,28,99,0,1,8,2,Police,Lane 1,Emergency_Police,10
16,61,47,98,65,11,87,52,1,2,9,0,None,Lane 4,Gridlock_Avoidance,10
93,51,69,85,48,16,72,58,2,3,0,1,None,Lane 3,Starvation,3
50,31,99,32,91,54,52,89,0,4,1,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
74,49,86,66,30,43,30,97,1,0,2,3,None,Lane 2,Starvation,3
77,29,32,86,71,45,83,94,2,0,3,4,Fire Truck,Lane 2,Emergency_Fire Truck,10
23,30,98,81,76,71,92,59,3,1,4,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
20,15,85,11,41,87,100,40,0,2,5,1,None,Lane 1,Starvation,3
49,17,36,58,38,94,33,48,1,3,0,2,None,Lane 3,Starvation,3
12,61,65,55,72,21,16,29,2,4,0,3,Police,Lane 3,Emergency_Police,10
12,61,65,55,72,21,16,29,3,5,1,0,Police,Lane 4,Emergency_Police,10
81,90,47,26,57,46,82,44,0,6,2,1,None,Lane 1,Starvation,6
71,27,50,45,66,78,86,92,1,0,3,2,None,Lane 2,Starvation,3
83,92,65,11,83,62,37,59,2,1,0,3,None,Lane 3,Starvation,3
55,38,75,13,66,53,76,39,3,2,1,0,None,Lane 4,Starvation,3
56,52,94,84,66,97,26,40,0,3,2,1,None,Lane 1,Starvation,3
35,56,81,53,23,71,40,14,1,4,3,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
47,69,52,74,77,93,98,15,2,5,4,0,None,Lane 4,Gridlock_Avoidance,6
43,37,68,98,62,15,48,39,3,0,5,1,None,Lane 2,Starvation,3
66,79,67,39,93,36,23,75,4,1,6,0,Police,Lane 4,Emergency_Police,10
62,10,10,58,43,42,87,86,0,2,7,1,None,Lane 1,Starvation,3
92,34,86,97,80,38,66,11,1,3,0,2,None,Lane 3,Starvation,10
28,58,77,75,15,97,63,54,2,4,0,3,Police,Lane 3,Emergency_Police,10
96,34,88,81,57,19,80,38,3,0,1,4,None,Lane 2,Starvation,3
94,67,25,46,42,34,83,36,0,1,2,5,None,Lane 1,Starvation,10
78,86,41,40,94,24,30,40,0,2,3,6,Fire Truck,Lane 1,Emergency_Fire Truck,10
47,37,17,29,67,98,79,73,1,3,4,0,Ambulance,Lane 4,Emergency_Ambulance,10
45,13,92,26,52,54,41,96,2,0,5,1,Police,Lane 2,Emergency_Police,10
77,69,87,92,10,49,47,80,3,1,0,2,Ambulance,Lane 3,Emergency_Ambulance,10
28,30,31,36,26,98,65,89,0,2,1,3,Ambulance,Lane 1,Emergency_Ambulance,10
28,30,31,36,26,98,65,89,1,3,0,4,Ambulance,Lane 3,Emergency_Ambulance,10
85,91,56,90,18,55,30,41,2,0,1,5,Police,Lane 2,Emergency_Police,10
12,26,45,60,55,15,22,26,3,1,2,0,None,Lane 4,Starvation,3
35,71,19,21,12,21,69,31,0,2,3,1,None,Lane 1,Starvation,3
61,24,16,98,66,41,20,58,1,3,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
29,82,79,94,100,60,20,73,2,0,1,3,None,Lane 2,Starvation,6
71,72,34,61,59,43,38,47,3,1,2,0,None,Lane 4,Starvation,3
78,33,70,74,31,95,61,63,0,2,3,1,None,Lane 1,Starvation,6
70,17,33,64,18,75,12,75,1,3,0,2,None,Lane 3,Starvation,3
95,71,37,29,36,80,56,61,0,4,1,3,Police,Lane 1,Emergency_Police,10
95,71,37,29,36,80,56,61,1,0,2,4,Police,Lane 2,Emergency_Police,10
95,71,37,29,36,80,56,61,2,1,0,5,Police,Lane 3,Emergency_Police,10
80,98,46,81,90,32,51,54,0,2,1,6,Police,Lane 1,Emergency_Police,10
44,100,16,54,42,100,18,37,1,3,2,0,None,Lane 4,Starvation,3
98,79,52,98,25,96,32,62,2,0,3,1,Ambulance,Lane 2,Emergency_Ambulance,10
98,79,52,98,25,96,32,62,3,1,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
55,19,61,26,76,33,74,64,0,2,1,3,None,Lane 1,Starvation,3
43,28,68,92,52,61,40,73,1,3,2,0,None,Lane 4,Starvation,10
56,83,59,95,62,90,63,48,2,0,3,1,Police,Lane 2,Emergency_Police,10
21,75,11,25,37,31,78,21,3,1,0,2,None,Lane 3,Starvation,3
94,33,35,63,96,20,85,94,4,0,1,3,Ambulance,Lane 2,Emergency_Ambulance,10
84,52,40,10,28,88,21,25,0,1,2,4,Fire Truck,Lane 1,Emergency_Fire Truck,10
50,89,59,56,19,31,35,97,1,0,3,5,None,Lane 2,Gridlock_Avoidance,10
24,17,16,96,20,69,76,41,2,1,0,6,Police,Lane 3,Emergency_Police,10
54,58,58,34,27,18,36,80,3,2,1,0,Police,Lane 4,Emergency_Police,10
16,36,34,71,18,10,12,45,0,3,2,1,None,Lane 1,Starvation,3
26,15,27,100,79,85,21,13,1,4,3,0,None,Lane 4,Gridlock_Avoidance,10
56,72,56,45,92,96,37,91,0,5,4,1,Fire Truck,Lane 1,Emergency_Fire Truck,10
56,72,56,45,92,96,37,91,1,6,0,2,Police,Lane 3,Emergency_Police,10
97,55,65,25,52,85,98,88,0,7,1,3,None,Lane 1,Gridlock_Avoidance,10
14,29,41,37,97,27,75,95,0,8,2,4,Ambulance,Lane 1,Emergency_Ambulance,10
14,29,41,37,97,27,75,95,1,9,0,5,Fire Truck,Lane 3,Emergency_Fire Truck,10
31,30,74,98,51,99,15,38,2,10,1,0,None,Lane 4,Gridlock_Avoidance,10
81,63,87,87,64,12,99,99,3,0,2,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
55,50,15,95,88,68,49,70,4,1,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
70,83,36,24,76,18,48,11,5,0,1,3,Fire Truck,Lane 2,Emergency_Fire Truck,10
70,83,36,24,76,18,48,11,6,1,0,4,Fire Truck,Lane 3,Emergency_Fire Truck,10
19,35,84,29,33,29,21,55,0,2,1,5,None,Lane 1,Starvation,3
12,29,74,75,88,25,24,100,0,3,2,6,Fire Truck,Lane 1,Emergency_Fire Truck,10
20,66,16,98,38,43,14,19,1,4,0,7,Ambulance,Lane 3,Emergency_Ambulance,10
20,66,16,98,38,43,14,19,2,0,1,8,Police,Lane 2,Emergency_Police,10
85,87,52,60,10,60,65,73,3,1,2,0,Police,Lane 4,Emergency_Police,10
58,54,30,95,58,44,90,74,4,2,0,1,Fire Truck,Lane 3,Emergency_Fire Truck,10
66,65,75,90,72,33,68,36,0,3,1,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
32,45,86,77,62,53,91,76,1,0,2,3,None,Lane 2,Starvation,3
62,43,89,26,33,26,97,27,2,1,3,0,None,Lane 4,Starvation,3
72,12,37,85,12,27,88,46,3,2,4,0,None,Lane 4,Gridlock_Avoidance,6
35,44,31,61,29,72,14,87,4,3,5,0,Ambulance,Lane 4,Emergency_Ambulance,10
35,44,31,61,29,72,14,87,5,4,0,1,Fire Truck,Lane 3,Emergency_Fire Truck,10
26,87,80,61,50,69,20,47,6,0,1,2,Police,Lane 2,Emergency_Police,10
84,35,61,66,58,37,57,35,0,1,2,3,None,Lane 1,Starvation,6
48,18,86,48,93,56,91,71,1,0,3,4,Fire Truck,Lane 2,Emergency_Fire Truck,10
70,61,83,43,40,82,68,30,0,1,4,5,Police,Lane 1,Emergency_Police,10
29,18,63,40,91,97,76,54,1,2,5,0,Ambulance,Lane 4,Emergency_Ambulance,10
15,75,73,65,52,29,38,17,0,3,6,1,Ambulance,Lane 1,Emergency_Ambulance,10
20,64,33,38,19,36,38,22,0,4,7,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
29,63,12,30,46,67,96,37,0,5,8,3,Police,Lane 1,Emergency_Police,10
94,12,83,92,82,27,28,74,1,0,9,4,None,Lane 2,Starvation,3
36,17,39,42,20,66,86,69,0,1,10,5,Police,Lane 1,Emergency_Police,10
67,100,23,36,17,63,72,66,1,0,11,6,Ambulance,Lane 2,Emergency_Ambulance,10
57,25,14,21,65,37,69,39,2,1,0,7,Police,Lane 3,Emergency_Police,10
25,54,41,10,99,15,20,26,3,2,1,0,None,Lane 4,Starvation,3
26,86,22,37,93,62,27,75,0,3,2,1,Ambulance,Lane 1,Emergency_Ambulance,10
76,73,57,56,30,11,58,29,1,4,0,2,Ambulance,Lane 3,Emergency_Ambulance,10
76,73,57,56,30,11,58,29,2,5,1,0,Ambulance,Lane 4,Emergency_Ambulance,10
41,20,60,44,39,61,20,52,3,0,2,1,None,Lane 2,Starvation,3
65,97,79,39,33,24,18,92,0,1,3,2,None,Lane 1,Starvation,3
88,71,31,20,50,77,88,23,0,2,4,3,None,Lane 1,Gridlock_Avoidance,10
34,14,21,12,27,93,93,71,1,3,5,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
100,83,50,60,46,48,80,21,2,4,0,1,Ambulance,Lane 3,Emergency_Ambulance,10
27,100,51,79,40,50,46,47,3,0,1,2,None,Lane 2,Starvation,10
28,69,21,87,17,65,92,29,4,1,2,0,Ambulance,Lane 4,Emergency_Ambulance,10
88,98,19,60,78,90,65,30,5,0,3,1,Police,Lane 2,Emergency_Police,10
17,71,39,35,45,20,85,73,0,1,4,2,None,Lane 1,Starvation,3
51,19,74,40,45,40,81,37,1,2,0,3,Ambulance,Lane 3,Emergency_Ambulance,10
51,19,74,40,45,40,81,37,2,0,1,4,Police,Lane 2,Emergency_Police,10
66,47,96,86,10,94,42,89,3,1,2,0,Ambulance,Lane 4,Emergency_Ambulance,10
99,58,69,50,38,85,96,19,0,2,3,1,Fire Truck,Lane 1,Emergency_Fire Truck,10
80,74,95,35,67,14,76,12,1,3,0,2,None,Lane 3,Starvation,10
18,94,67,42,47,16,22,65,2,0,1,3,None,Lane 2,Starvation,10
56,95,51,81,42,63,10,73,0,1,2,4,Police,Lane 1,Emergency_Police,10
56,95,51,81,42,63,10,73,1,2,3,0,Police,Lane 4,Emergency_Police,10
41,95,30,44,51,49,22,57,2,3,0,1,Fire Truck,Lane 3,Emergency_Fire Truck,10
41,95,30,44,51,49,22,57,3,0,1,2,Police,Lane 2,Emergency_Police,10
79,47,22,81,33,94,17,71,0,1,2,3,None,Lane 1,Starvation,6
21,28,54,92,27,73,85,41,1,2,3,0,None,Lane 4,Starvation,10
19,20,96,53,97,85,11,12,2,0,4,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
80,12,58,49,68,83,10,95,0,1,5,2,Ambulance,Lane 1,Emergency_Ambulance,10
80,12,58,49,68,83,10,95,1,0,6,3,Fire Truck,Lane 2,Emergency_Fire Truck,10
80,12,58,49,68,83,10,95,2,1,0,4,Police,Lane 3,Emergency_Police,10
48,85,65,21,46,34,48,28,3,2,1,0,None,Lane 4,Starvation,3
58,91,86,45,67,73,13,80,0,3,2,1,Fire Truck,Lane 1,Emergency_Fire Truck,10
95,24,65,50,68,48,96,47,0,4,3,2,Police,Lane 1,Emergency_Police,10
98,85,76,89,17,83,82,79,1,5,0,3,Fire Truck,Lane 3,Emergency_Fire Truck,10
62,13,77,12,65,38,97,16,2,0,1,4,None,Lane 2,Starvation,3
67,59,56,65,46,55,96,33,3,1,2,0,None,Lane 4,Starvation,3
11,37,90,74,73,31,33,11,0,2,3,1,Ambulance,Lane 1,Emergency_Ambulance,10
52,100,24,58,34,49,97,11,0,3,4,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
26,73,36,56,75,65,41,96,1,4,5,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
26,73,36,56,75,65,41,96,2,0,6,1,Police,Lane 2,Emergency_Police,10
71,65,95,100,19,60,20,38,3,1,0,2,None,Lane 3,Starvation,10
13,13,26,70,87,17,18,91,4,2,0,3,Police,Lane 3,Emergency_Police,10
32,69,78,41,100,66,17,68,5,0,1,4,Ambulance,Lane 2,Emergency_Ambulance,10
32,69,78,41,100,66,17,68,6,1,2,0,Ambulance,Lane 4,Emergency_Ambulance,10
74,20,84,54,92,68,52,33,7,2,0,1,None,Lane 3,Gridlock_Avoidance,6
34,68,11,59,96,27,16,14,8,0,1,2,None,Lane 2,Gridlock_Avoidance,3
86,43,87,37,58,29,12,56,0,1,2,3,None,Lane 1,Starvation,10
61,69,43,25,47,40,68,99,0,2,3,4,Ambulance,Lane 1,Emergency_Ambulance,10
20,55,61,18,65,64,42,62,0,3,4,5,Ambulance,Lane 1,Emergency_Ambulance,10
20,55,61,18,65,64,42,62,1,4,0,6,Police,Lane 3,Emergency_Police,10
36,77,62,58,44,77,19,68,2,0,1,7,None,Lane 2,Starvation,6
58,81,71,11,24,87,92,74,3,1,2,0,None,Lane 4,Starvation,3
64,80,31,18,40,86,54,49,0,2,3,1,Ambulance,Lane 1,Emergency_Ambulance,10
56,75,21,20,50,88,51,19,0,3,4,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
56,75,21,20,50,88,51,19,1,0,5,3,Fire Truck,Lane 2,Emergency_Fire Truck,10
55,18,57,51,39,10,23,11,2,1,0,4,None,Lane 3,Starvation,3
98,87,63,37,36,62,11,96,0,2,1,5,None,Lane 1,Gridlock_Avoidance,10
11,28,70,34,82,59,16,100,1,3,0,6,None,Lane 3,Gridlock_Avoidance,3
29,26,73,10,22,97,10,81,0,4,1,7,Ambulance,Lane 1,Emergency_Ambulance,10
29,26,73,10,22,97,10,81,1,5,2,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
10,38,77,92,98,86,51,41,2,6,0,1,Fire Truck,Lane 3,Emergency_Fire Truck,10
34,33,67,65,31,31,31,51,3,0,1,2,None,Lane 2,Starvation,3
29,35,61,18,97,73,15,74,4,1,0,3,Ambulance,Lane 3,Emergency_Ambulance,10
29,35,61,18,97,73,15,74,5,0,1,4,Police,Lane 2,Emergency_Police,10
97,97,38,30,87,33,40,51,6,1,2,0,Police,Lane 4,Emergency_Police,10
40,18,85,54,24,67,83,28,0,2,3,1,None,Lane 1,Starvation,3
90,69,39,60,39,34,63,33,1,3,0,2,None,Lane 3,Starvation,3
41,34,44,81,51,83,96,71,2,4,1,0,None,Lane 4,Gridlock_Avoidance,6
82,36,48,41,11,98,21,40,0,5,2,1,None,Lane 1,Gridlock_Avoidance,6
85,30,37,99,63,27,66,73,0,6,3,2,Police,Lane 1,Emergency_Police,10
85,30,37,99,63,27,66,73,1,0,4,3,Police,Lane 2,Emergency_Police,10
64,66,26,61,97,21,59,95,2,1,0,4,None,Lane 3,Starvation,3
17,25,74,43,95,48,16,32,0,2,1,5,Ambulance,Lane 1,Emergency_Ambulance,10
55,20,23,71,52,39,42,41,1,3,2,0,None,Lane 4,Starvation,6
94,99,75,39,64,80,82,73,2,4,3,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
76,12,91,57,60,93,78,49,3,5,0,1,None,Lane 3,Gridlock_Avoidance,10
35,21,87,71,20,26,45,55,0,6,1,2,None,Lane 1,Starvation,3
65,10,56,38,78,73,66,24,1,0,2,3,Police,Lane 2,Emergency_Police,10
10,44,48,13,27,29,87,11,2,1,0,4,Police,Lane 3,Emergency_Police,10
37,92,63,51,46,76,19,13,3,2,1,0,None,Lane 4,Starvation,3
17,10,68,33,16,23,57,18,0,3,2,1,Police,Lane 1,Emergency_Police,10
37,81,58,79,14,15,27,59,1,0,3,2,None,Lane 2,Starvation,6
64,36,38,69,44,24,13,45,2,1,0,3,None,Lane 3,Starvation,3
23,16,21,54,89,45,97,72,3,2,1,0,None,Lane 4,Starvation,3
44,31,96,63,24,87,53,92,0,3,2,1,Ambulance,Lane 1,Emergency_Ambulance,10
94,56,19,59,19,54,22,42,1,0,3,2,None,Lane 2,Starvation,3
48,17,81,77,52,45,100,74,2,1,4,0,Ambulance,Lane 4,Emergency_Ambulance,10
48,17,81,77,52,45,100,74,0,2,5,1,Fire Truck,Lane 1,Emergency_Fire Truck,10
76,38,22,26,89,94,65,56,0,3,6,2,Fire Truck,Lane 1,Emergency_Fire Truck,10
50,92,12,50,78,69,10,75,1,0,7,3,None,Lane 2,Starvation,10
